content_title,attributes
Romeo's Melody/ PJ Robot Takes Control,"{""Time Era"":[""contemporary (2000-)""],""Scopes and Scales"":[""normal""],""Gender"":[""female"",""male""],""Age Groups"":[""older child (6-10)""],""Agents"":[""inventor"",""scientist"",""superhero"",""robot"",""student"",""thief"",""team""],""Setting Types"":[""urban""]}"
Operation Crumb Cake/ Mandace,"{""Agents"":[""sister"",""scientist"",""spy"",""animal"",""sibling"",""parent"",""brother"",""pet""],""Holidays & Seasons"":[""summer""],""Subjects"":[""family""],""Portrayals of Character"":[""Phineas Flynn (Martella, Vincent)"",""Irving (McBrayer, Jack)"",""CANDACE FLYNN (Tisdale, Ashley)"",""MAJOR MONOGRAM (Marsh, Jeff \""Swampy\"")"",""Baljeet (Pancholy, Maulik)"",""Ferb Fletcher (Brodie-Sangster, Thomas)"",""Carl Karl (Mann, Tyler)"",""Jeremy (Musso, Mitchel)"",""Mom (Rhea, Caroline)"",""MOM (Rhea, Caroline)"",""Buford van Stomm (Gaylor, Bobby)"",""Isabella (Stoner, Alyson)"",""Dad (O'Brien, Richard)"",""Candace Flynn (Tisdale, Ashley)"",""Charlene Doofenshmirtz (Janney, Allison)"",""Vanessa Doofenshmirtz (Olson, Olivia)"",""Dr. Doofenshmirtz (Povenmire, Dan)"",""Perry the Platypus (Baker, Dee Bradley)""],""Time Era"":[""contemporary (2000-)""],""Disciplines & Industries"":[""medical research, science and technology"",""recreation""],""Setting Types"":[""suburban""],""Gender"":[""male""],""Age Groups"":[""tween (11-13)""],""Scopes and Scales"":[""grand""]}"
Jigeum Mannareo Gabmida,"{""Gender"":[""male"",""female""],""Subjects"":[""paranormal""],""Geography"":[""South Korea""],""Genres"":[""romance"",""drama"",""soap opera/melodrama"",""fantasy""],""Agents"":[""spouse"",""son"",""dead person"",""mother"",""agent with mental health disorder"",""couple"",""lover"",""father""],""Story Elements"":[""bereavement"",""familial relationship"",""resurrection"",""rekindled romance""],""Scopes and Scales"":[""normal""],""Time Era"":[""contemporary (2000-)""],""Moods"":[""intimate"",""romantic"",""sad""],""Source Material"":[""adaptation"",""remake""],""Setting Types"":[""town""],""Age Groups"":[""adult (19-59)""]}"
Miles Ahead,"{""Age Groups"":[""adult (19-59)""],""Source Material"":[""true story"",""as suggested by""],""Moods"":[""confrontational"",""dramatic""],""Time Era"":[""1970-1979"",""1946-1959"",""1960-1969""],""Disciplines & Industries"":[""music""],""Scopes and Scales"":[""normal""],""Agents"":[""manager"",""addict"",""talent agent"",""composer"",""musician"",""spouse"",""celebrity"",""lover"",""dancer"",""reporter""],""Story Elements"":[""married life"",""self-destructive behavior"",""struggling with addiction"",""fall from grace"",""holy grail""],""Inactive Time Era"":[""20th Century - ca. 1975-1980""],""Genres"":[""biographical"",""drama"",""music""],""Gender"":[""male""],""Setting Types"":[""urban""],""Subjects"":[""marriage"",""arts and entertainment""],""Geography"":[""New York City""]}"
Engineering Connections,"{""Subjects"":[""technology""],""Term Status"":[],""Genres"":[""docuseries""],""Age Groups"":[""adult (19-59)""],""Moods"":[""matter-of-fact""],""Agents"":[""entertainment host"",""inventor"",""construction worker"",""architect""],""Disciplines & Industries"":[""architecture and interior design"",""construction""],""Gender"":[""male""],""Time Era"":[""contemporary (2000-)""],""Scopes and Scales"":[""normal""]}"
Milo's Shadow/ Sick Day,"{""Scopes and Scales"":[""normal""],""Portrayals of Character"":[""Loab (Bowie, John Ross)"",""ZACK (Curtis, MeKai)"",""BALTHAZAR CAVENDISH (Marsh, Jeff \""Swampy\"")"",""MAJOR MONOGRAM (Marsh, Jeff \""Swampy\"")"",""MILO MURPHY (Yankovic, \""Weird Al\"")"",""Chaffe (Sparks, Hal)"",""MELISSA (Carpenter, Sabrina)"",""SARA MURPHY (Micucci, Kate)"",""Coach (Richardson, Kevin Michael)"",""Dr. Doofenshmirtz (Povenmire, Dan)"",""MISS MURAWSKI (Chalke, Sarah)"",""Khone (Yarbrough, Cedric)"",""Alien Commander (Hausmann, Joanna)"",""DIOGEE (Baker, Dee Bradley)"",""BRIGETTE MURPHY (Adlon, Pamela)"",""ELLIOT DECKER (Slater, Christian)""],""Gender"":[""female"",""male""],""Setting Types"":[""suburban"",""middle school""],""Agents"":[""family"",""sibling"",""extraterrestrial being"",""student"",""teacher"",""parent"",""dog""],""Age Groups"":[""tween (11-13)""],""Disciplines & Industries"":[""education""],""Time Era"":[""contemporary (2000-)""],""Inactive Agents"":[""animal""]}"
Southpaw,"{""Genres"":[""sports"",""drama""],""Gender"":[""cis male""],""Source Material"":[""original idea""],""Geography"":[""New York City""],""Time Era"":[""2010-2019""],""Moods"":[""confrontational"",""sad"",""dramatic""],""Setting Types"":[""urban""],""Disciplines & Industries"":[""boxing""],""Story Elements"":[""competition"",""comeback"",""tragedy"",""fall from grace"",""parent-child relationship""],""Age Groups"":[""adult (19-59)""],""Term Status"":[],""Agents"":[""daughter"",""father"",""manager"",""janitor"",""murderer"",""personal trainer"",""boxer"",""widowed person"",""addict""]}"
"Hook Seals a Deal! /Emerald Coconut, The","{""Inactive Agents"":[""explorer"",""animal""],""Agents"":[""ship captain"",""bird"",""sailor"",""pirate""],""Gender"":[""female"",""male""],""Time Era"":[""past (unspecified)""],""Setting Types"":[""aquatic"",""island""],""Scopes and Scales"":[""grand""],""Age Groups"":[""adult (19-59)"",""older child (6-10)""]}"
Feliz Navidad,"{""Genres"":[""romantic comedy"",""comedy"",""romance""],""Geography"":[""Arizona""],""Scopes and Scales"":[""normal""],""Story Elements"":[""new love"",""lonely heart"",""single parenting"",""school event""],""Source Material"":[""original idea""],""Gender"":[""male""],""Moods"":[""intimate"",""romantic"",""heartwarming""],""Setting Types"":[""town"",""high school""],""Agents"":[""delivery person"",""teacher"",""musical ensemble"",""aunt"",""sibling"",""musician"",""niece"",""school principal"",""couple"",""daughter"",""father""],""Holidays & Seasons"":[""Christmas""],""Term Status"":[],""Age Groups"":[""adult (19-59)""],""Disciplines & Industries"":[""music"",""education""],""Time Era"":[""contemporary (2000-)""]}"
Captain America: The First Avenger,"{""Source Material"":[""adaptation"",""as suggested by""],""Story Elements"":[""front lines"",""reinvention"",""heroic mission"",""self-sacrifice"",""fitting in""],""Age Groups"":[""adult (19-59)""],""Term Status"":[],""Disciplines & Industries"":[""armed forces""],""Genres"":[""action-adventure"",""science fiction"",""superhero""],""Time Era"":[""1939-1945 (World War II)""],""Setting Types"":[""urban"",""rural""],""Gender"":[""male""],""Agents"":[""scientist"",""superhero"",""soldier"",""military officer""],""Moods"":[""wild"",""confrontational"",""dramatic""],""Geography"":[""New York City"",""New Jersey"",""Europe""],""Fictional Locations"":[""Camp Lehigh (Wheaton, NJ)""]}"
"Day Unlike Any Other, A","{""Inactive Agents"":[""artificial intelligence""],""Agents"":[""extraterrestrial being"",""archer"",""deity"",""inventor"",""superhero"",""android"",""monster"",""criminal"",""team""],""Disciplines & Industries"":[""public safety""],""Portrayals of Character"":[""Wasp (O'Shaughnessey, Colleen)"",""Dr. Hank Pym (Wingert, Wally)"",""IRON MAN (Loomis, Eric)"",""Thor (Wasserman, Rick)"",""Sif (Futterman, Nika)"",""Captain America (Bloom, Brian)"",""Loki (McTavish, Graham)"",""Janet Van Dyne (O'Shaughnessey, Colleen) (voice)"",""Iron Man (Loomis, Eric)"",""Giant-Man (Wingert, Wally)"",""Janet Van Dyne (O'Shaughnessey, Colleen)"",""TONY STARK (Loomis, Eric)"",""BLACK PANTHER (Mathis, James, III)"",""Fandral (Cox, Chris)"",""Odin (Brown, Clancy)"",""Volstagg (Tatasciore, Fred)"",""Hawkeye (Cox, Chris)"",""Fenris (Tatasciore, Fred)"",""Hulk (Tatasciore, Fred)"",""Hela (Futterman, Nika)"",""Black Panther (Mathis, James, III)""],""Scopes and Scales"":[""grand""],""Time Era"":[""contemporary (2000-)""],""Gender"":[""male"",""female""],""Setting Types"":[""urban""],""Age Groups"":[""indeterminate"",""adult (19-59)""]}"
Pamela Smart: An American Murder Mystery,"{""Geography"":[""New Hampshire""],""Agents"":[""lawyer"",""teacher"",""detective"",""reporter"",""victim/survivor of violence"",""murderer"",""suspect"",""witness"",""spouse"",""student"",""police"",""criminal"",""lover""],""Creative Elements"":[""reenactment""],""Story Elements"":[""infidelity"",""murder"",""solving a crime""],""Disciplines & Industries"":[""criminal justice ecosystem"",""law enforcement""],""Term Status"":[],""Subjects"":[""true crime""],""Genres"":[""docuseries"",""crime""],""Moods"":[""matter-of-fact"",""contemplative""],""Source Material"":[""real life""],""Time Era"":[""2010-2019"",""1990-1999""],""Setting Types"":[""town""]}"
Halloweentown,"{""Holidays & Seasons"":[""autumn"",""Halloween""],""Source Material"":[""original idea""],""Agents"":[""monster"",""mother"",""grandparent"",""demon"",""witch"",""daughter"",""son""],""Story Elements"":[""lost worlds discovered"",""secret identity"",""supernatural phenomena"",""showdown""],""Subjects"":[""family""],""Moods"":[""confrontational"",""whimsical""],""Age Groups"":[""older adult"",""tween (11-13)""],""Term Status"":[],""Scopes and Scales"":[""normal""],""Setting Types"":[""suburban"",""town""],""Time Era"":[""1990-1999""],""Portrayals of Character"":[""Sophie Piper (none)"",""Harriet (none)"",""Luke (none)"",""Benny (Romano, Rino)"",""Wolfie (none)"",""Kalabar (none)"",""Gwen Piper (Hoag, Judith)"",""Frankenstein (none)"",""Aggie Cromwell (Reynolds, Debbie)"",""Marnie Piper (none)""],""Genres"":[""comedy"",""coming of age"",""action-adventure"",""fantasy""],""Gender"":[""female""]}"
No Reservations,"{""Age Groups"":[""indeterminate""],""Scopes and Scales"":[""grand""],""Setting Types"":[""urban"",""wilderness"",""suburban""],""Gender"":[""male"",""female""],""Agents"":[""lover"",""dog"",""mouse"",""bird""],""Inactive Agents"":[""animal""]}"
Nadie Hablara De Nosotras Cuando Hayamos Muerto,"{""Scopes and Scales"":[""normal""],""Agents"":[""assassin"",""addict"",""sex worker"",""spouse"",""in-law"",""mother"",""witness"",""criminal""],""Story Elements"":[""organized crime operation"",""showdown"",""self-destructive behavior""],""Setting Types"":[""urban""],""Gender"":[""female""],""Subjects"":[""true crime""],""Genres"":[""film noir"",""thriller"",""crime""],""Geography"":[""Madrid"",""Mexico City""],""Age Groups"":[""adult (19-59)""],""Moods"":[""suspenseful"",""dark"",""confrontational""],""Time Era"":[""1990-1999""],""Source Material"":[""original idea""],""Disciplines & Industries"":[""organized crime""]}"
Inside North Korea: The Cyber State,"{""Term Status"":[],""Agents"":[""criminal"",""dictator"",""hacker""],""Geography"":[""United States"",""North Korea""],""Disciplines & Industries"":[""federal government"",""software development""],""Story Elements"":[""criminal activity""],""Subjects"":[""technology"",""true crime""],""Themes Topics"":[""software development""],""Time Era"":[""contemporary (2000-)""],""Moods"":[""matter-of-fact""],""Scopes and Scales"":[""normal""],""Source Material"":[""real life""],""Genres"":[""documentary""],""Setting Types"":[""urban""]}"
Korea from Above,"{""Scopes and Scales"":[""grand""],""Time Era"":[""contemporary (2000-)""],""Geography"":[""South Korea""],""Genres"":[""docuseries""],""Themes Topics"":[""travel""],""Subjects"":[""travel""],""Moods"":[""matter-of-fact"",""wondrous""],""Setting Types"":[""wilderness"",""urban""]}"
Fargo,"{""Story Elements"":[""cover-up"",""criminal misadventure"",""kidnapping"",""solving a crime"",""extortion"",""murder"",""organized crime operation""],""Agents"":[""criminal"",""crime lord"",""murderer"",""assassin"",""spouse"",""couple"",""beautician"",""captive"",""mother"",""victim/survivor of violence"",""brother"",""rich person"",""gang"",""son"",""in-law"",""family"",""salesperson"",""business owner"",""police"",""chief of police""],""Term Status"":[],""Scopes and Scales"":[""normal""],""Moods"":[""dark"",""confrontational"",""funny""],""Genres"":[""crime"",""comedy"",""anthology"",""police/cop"",""drama""],""Source Material"":[""reboot"",""original idea""],""Geography"":[""Minneapolis"",""Minnesota"",""South Dakota"",""Kansas City"",""Fargo""],""Time Era"":[""1970-1979"",""1946-1959"",""1980-1989"",""2000-2009"",""2010-2019""],""Disciplines & Industries"":[""public safety"",""law enforcement"",""organized crime""],""Holidays & Seasons"":[""winter""],""Setting Types"":[""urban"",""town"",""rural""]}"
Missing Milo (Part 1),"{""Time Era"":[""contemporary (2000-)""],""Inactive Agents"":[""animal""],""Gender"":[""male"",""female""],""Age Groups"":[""tween (11-13)""],""Setting Types"":[""middle school"",""suburban""],""Portrayals of Character"":[""MELISSA (Carpenter, Sabrina)"",""TIME APE (Winkleman, Sophie)"",""KYLE DRAKO (Culross, Michael, Jr.)"",""VINNIE DAKOTA (Povenmire, Dan)"",""DIOGEE (Baker, Dee Bradley)"",""Josh (none)"",""ZACK (Curtis, MeKai)"",""BALTHAZAR CAVENDISH (Marsh, Jeff \""Swampy\"")"",""DR. ZONE (Clement, Jemaine)"",""Scott (Peterson, Scott)"",""SAVANNAH (Wen, Ming-Na)"",""Orton Mahlson (Clement, Jemaine)"",""MILO MURPHY (Yankovic, \""Weird Al\"")"",""King Pistashion (Darby, Rhys)"",""Dr. Block (Hamill, Mark)"",""SARA MURPHY (Micucci, Kate)"",""ELLIOT DECKER (Slater, Christian)"",""BRICK (Dalton, Brett)""],""Scopes and Scales"":[""normal""],""Agents"":[""extraterrestrial being"",""teacher"",""parent"",""family"",""student"",""dog"",""sibling""],""Disciplines & Industries"":[""education""]}"
Sniper: The Ultimate Competition,"{""Source Material"":[""real life""],""Term Status"":[],""Geography"":[""Georgia""],""Moods"":[""matter-of-fact""],""Time Era"":[""2010-2019""],""Genres"":[""game show/competition""],""Agents"":[""veteran"",""soldier"",""agent with mobility disability"",""federal agent"",""police"",""contestant"",""military member"",""military officer""],""Story Elements"":[""competition""],""Setting Types"":[""rural""]}"
It Happens Every Spring,"{""Source Material"":[""adaptation""],""Gender"":[""male""],""Moods"":[""whimsical""],""Time Era"":[""1946-1959""],""Age Groups"":[""adult (19-59)""],""Agents"":[""father"",""coach"",""team"",""daughter"",""scientist"",""baseball player"",""teacher"",""couple""],""Genres"":[""sports"",""comedy""],""Setting Types"":[""urban""],""Geography"":[""St. Louis""],""Disciplines & Industries"":[""baseball""],""Story Elements"":[""competition"",""fitting in"",""reinvention"",""lovers' quarrel"",""deception""],""Term Status"":[]}"
Capturing Their Killer: The Girls on the High Bridge,"{""Setting Types"":[""town"",""forest""],""Agents"":[""lawyer"",""murderer"",""grandparent"",""victim/survivor of violence"",""parent"",""suspect"",""police"",""spouse""],""Moods"":[""sad"",""suspenseful""],""Subjects"":[""true crime""],""Story Elements"":[""murder"",""solving a crime""],""Geography"":[""Indiana""],""Term Status"":[],""Genres"":[""docuseries""],""Source Material"":[""real life""],""Time Era"":[""2010-2019"",""2020-2029""]}"
Allons Enfants,"{""Term Status"":[],""Disciplines & Industries"":[""dance""],""Source Material"":[""original idea""],""Genres"":[""documentary"",""dance""],""Subjects"":[""cultural intersections"",""dance""],""Moods"":[""uplifting"",""matter-of-fact""],""Setting Types"":[""urban"",""high school""],""Age Groups"":[""teen (14-18)""],""Story Elements"":[""school issue"",""following a dream"",""social status""],""Agents"":[""student"",""teacher"",""choreographer"",""school principal"",""dancer""],""Time Era"":[""2020-2029""],""Geography"":[""Paris""]}"
Patriots Day,"{""Gender"":[""male""],""Disciplines & Industries"":[""public safety""],""Scopes and Scales"":[""normal""],""Story Elements"":[""solving a crime"",""terrorism""],""Agents"":[""brother"",""chief of police"",""police"",""spouse"",""fugitive from justice"",""terrorist""],""Genres"":[""drama"",""thriller"",""police/cop""],""Time Era"":[""contemporary (2000-)""],""Moods"":[""suspenseful"",""dramatic""],""Age Groups"":[""adult (19-59)""],""Geography"":[""Boston""],""Source Material"":[""true story""],""Setting Types"":[""urban""],""Subjects"":[""true crime""]}"
Goofy's Goofbot,"{""Gender"":[""female"",""male""],""Inactive Agents"":[""animal""],""Scopes and Scales"":[""normal""],""Agents"":[""teacher"",""bird"",""dog"",""mouse"",""team""],""Age Groups"":[""indeterminate""],""Creative Elements"":[""educational""],""Setting Types"":[""rural""],""Time Era"":[""contemporary (2000-)""]}"
Demon Slayer: Kimetsu No Yaiba Mugen Ressya Hen,"{""Geography"":[""Japan""],""Scopes and Scales"":[""normal""],""Story Elements"":[""revenge"",""journey"",""personal investigation"",""heroic mission""],""Time Era"":[""1914-1918 (World War I)"",""1919-1929""],""Moods"":[""confrontational"",""dramatic"",""whimsical""],""Setting Types"":[""wilderness"",""rural"",""town""],""Age Groups"":[""teen (14-18)""],""Agents"":[""orphan"",""passenger"",""warrior"",""sibling"",""team"",""demon""],""Subjects"":[""paranormal""],""Genres"":[""fantasy"",""anime"",""animation"",""action-adventure""],""Source Material"":[""sequel"",""adaptation""],""Gender"":[""male""]}"
Duncan vs. Duncan,"{""Agents"":[""family"",""sibling"",""daughter"",""parent"",""son""],""Subjects"":[""family""],""Scopes and Scales"":[""confined""],""Setting Types"":[""suburban""],""Gender"":[""male"",""female""],""Age Groups"":[""teen (14-18)"",""tween (11-13)"",""older child (6-10)"",""adult (19-59)"",""young adult (19-25)""],""Time Era"":[""contemporary (2000-)""]}"
Chuck & Tito,"{""Gender"":[""male""],""Subjects"":[""business"",""martial arts""],""Term Status"":[],""Source Material"":[""real life""],""Themes Topics"":[""business""],""Moods"":[""matter-of-fact"",""contemplative"",""confrontational""],""Genres"":[""documentary"",""sports""],""Agents"":[""advertising executive"",""writer"",""mother"",""business owner"",""reporter"",""father"",""sports announcer"",""personal trainer"",""martial artist"",""spouse"",""grandparent"",""son""],""Story Elements"":[""reversal of fortune"",""frenemies"",""following a dream""],""Disciplines & Industries"":[""martial arts""],""Age Groups"":[""adult (19-59)""],""Time Era"":[""2000-2009"",""1990-1999"",""2010-2019""]}"
Don't Tell a Soul,"{""Age Groups"":[""teen (14-18)""],""Story Elements"":[""showdown"",""sibling rivalry"",""deception for survival"",""criminal misadventure"",""medical condition""],""Term Status"":[],""Geography"":[""United States""],""Setting Types"":[""suburban""],""Scopes and Scales"":[""normal""],""Agents"":[""mother"",""brother"",""thief"",""son"",""captive"",""addict"",""murderer"",""fugitive from justice""],""Gender"":[""male""],""Moods"":[""suspenseful"",""confrontational"",""dark""],""Time Era"":[""contemporary (2000-)""],""Subjects"":[""true crime"",""family""],""Source Material"":[""original idea""],""Genres"":[""thriller"",""drama""]}"
Hats Off,"{""Themes Topics"":[""crafting projects""],""Age Groups"":[""older child (6-10)"",""adult (19-59)""],""Disciplines & Industries"":[""child care"",""recreation""],""Scopes and Scales"":[""confined""],""Subjects"":[""crafting projects""],""Gender"":[""female"",""male""],""Creative Elements"":[""educational""],""Agents"":[""student"",""singer"",""artist"",""teacher""],""Time Era"":[""contemporary (2000-)"",""1990-1999""],""Inactive Agents"":[""club""]}"
Shohei Ohtani - Beyond the Dream,"{""Genres"":[""biographical"",""documentary"",""sports""],""Agents"":[""baseball player"",""coach"",""talent agent""],""Source Material"":[""real life""],""Story Elements"":[""following a dream""],""Disciplines & Industries"":[""baseball""],""Subjects"":[""baseball""],""Geography"":[""Japan"",""United States""],""Gender"":[""cis male""],""Moods"":[""uplifting"",""intimate""],""Term Status"":[],""Time Era"":[""2010-2019"",""2020-2029""],""Age Groups"":[""20s""]}"
Beyblade Burst: Quadstrike Season 7,"{""Genres"":[""fantasy"",""animation"",""action-adventure"",""anime""],""Geography"":[""Japan""],""Moods"":[""confrontational"",""whimsical"",""wild""],""Gender"":[""male""],""Agents"":[""group"",""fantastic beast"",""student"",""team"",""sibling"",""magician""],""Age Groups"":[""older child (6-10)""],""Term Status"":[],""Story Elements"":[""friendship"",""secret identity"",""competition""],""Source Material"":[""sequel"",""adaptation""]}"
Predator Fail,"{""Subjects"":[""science""],""Setting Types"":[""aquatic"",""wilderness""],""Agents"":[""shark"",""wild animal"",""wild cat""],""Genres"":[""docuseries"",""animals & nature""],""Scopes and Scales"":[""normal""],""Geography"":[""Central Africa""],""Moods"":[""matter-of-fact"",""confrontational""],""Time Era"":[""contemporary (2000-)""]}"
Saga of Tanya the Evil: The Movie,"{""Agents"":[""soldier"",""military officer"",""magician"",""army"",""priest""],""Genres"":[""anime"",""animation"",""action-adventure"",""fantasy""],""Scopes and Scales"":[""grand""],""Time Era"":[""1919-1929""],""Age Groups"":[""tween (11-13)""],""Moods"":[""dramatic"",""wild"",""confrontational""],""Subjects"":[""war""],""Source Material"":[""sequel""],""Disciplines & Industries"":[""armed forces""],""Story Elements"":[""social status"",""identity"",""showdown"",""revenge""],""Gender"":[""female""]}"
"Manipulated, The","{""Source Material"":[""original idea""],""Term Status"":[],""Genres"":[""drama"",""crime""],""Agents"":[""prisoner"",""mother"",""brother"",""racecar driver"",""crime lord"",""son""],""Age Groups"":[""adult (19-59)""],""Gender"":[""male""],""Moods"":[""wild"",""confrontational""],""Story Elements"":[""innocent person"",""extortion"",""revenge"",""familial relationship""]}"
Build It Rocket!,"{""Scopes and Scales"":[""grand""],""Agents"":[""team"",""toy"",""conductor"",""singer"",""sibling"",""dancer"",""musician""],""Inactive Agents"":[""animal""],""Age Groups"":[""young child (3-5)"",""older child (6-10)""],""Disciplines & Industries"":[""fine arts""],""Creative Elements"":[""educational""],""Gender"":[""male"",""female""],""Setting Types"":[""suburban""],""Time Era"":[""contemporary (2000-)""]}"
Secret in the Hot Spring,"{""Geography"":[""Taiwan""],""Time Era"":[""contemporary (2000-)""],""Gender"":[""male""],""Scopes and Scales"":[""normal""],""Genres"":[""horror"",""comedy""],""Age Groups"":[""young adult (19-25)""],""Moods"":[""whimsical"",""frightening"",""funny""],""Disciplines & Industries"":[""hospitality""],""Agents"":[""orphan"",""student"",""grandparent"",""guest"",""ghost""],""Setting Types"":[""rural""],""Story Elements"":[""personal investigation"",""friendship"",""familial relationship""],""Source Material"":[""original idea""]}"
"Cupid Effect, The","{""Setting Types"":[""suburban"",""high school""],""Gender"":[""male"",""female""],""Time Era"":[""contemporary (2000-)""],""Scopes and Scales"":[""grand""],""Disciplines & Industries"":[""education""],""Agents"":[""brother"",""scientist"",""student"",""rat"",""team"",""athlete"",""daughter"",""warrior"",""criminal"",""parent""],""Age Groups"":[""teen (14-18)""]}"
Not a Toy,"{""Gender"":[""male""],""Setting Types"":[""urban""],""Scopes and Scales"":[""grand""],""Agents"":[""team"",""student"",""supervisor"",""spy"",""superhero""],""Disciplines & Industries"":[""education"",""public safety""],""Time Era"":[""contemporary (2000-)""],""Age Groups"":[""teen (14-18)""]}"
"Iron Lady, The","{""Agents"":[""assistant"",""mother"",""spouse"",""bureaucrat"",""daughter"",""business person"",""dead person"",""politician""],""Age Groups"":[""adult (19-59)"",""young adult (19-25)"",""older adult""],""Setting Types"":[""urban"",""town""],""Source Material"":[""as suggested by"",""adaptation"",""true story""],""Subjects"":[""politics""],""Story Elements"":[""discrimination"",""identity"",""fall from grace"",""political issue""],""Time Era"":[""1980-1989"",""2010-2019"",""1990-1999""],""Disciplines & Industries"":[""government"",""federal government""],""Moods"":[""confrontational"",""sophisticated"",""dramatic""],""Genres"":[""drama"",""biographical""],""Gender"":[""female""],""Geography"":[""London""]}"
Sydney to the Max,"{""Term Status"":[],""Moods"":[""whimsical"",""funny"",""heartwarming""],""Setting Types"":[""middle school"",""suburban""],""Time Era"":[""1990-1999"",""2010-2019"",""2020-2029""],""Genres"":[""comedy"",""coming of age""],""Creative Elements"":[""parallel timelines""],""Gender"":[""male"",""female""],""Agents"":[""student"",""daughter"",""widowed person"",""grandparent"",""family"",""father""],""Portrayals of Character"":[""Hudson (Jimenez, Max)"",""Mia (Bell, Saylor)"",""Iggy (Shapiro, Reid)"",""Gerald (young) (Handleson, James Buddy)"",""Dylan (Emmons, Miles)"",""LEO (Simon, Christian)"",""Whitney (Alorro, Madelyne)"",""Gia (Callier, Frances)"",""Jason (Bentley, Noah)"",""Zach (Alexander, Luca)"",""OLIVE (Kolker, Ava)"",""Gerald (Tigerman, Gabriel)""],""Source Material"":[""original idea""],""Age Groups"":[""adult (19-59)"",""tween (11-13)""]}"
Return of the T-Squad,"{""Inactive Agents"":[""aunt"",""animal"",""uncle""],""Age Groups"":[""adult (19-59)"",""tween (11-13)""],""Agents"":[""brother"",""criminal"",""bird"",""reporter"",""couple"",""camera operator"",""musician""],""Subjects"":[""family""],""Scopes and Scales"":[""grand""],""Time Era"":[""1990-1999""],""Disciplines & Industries"":[""journalism""],""Gender"":[""male""],""Setting Types"":[""urban"",""rural""]}"
Rec,"{""Moods"":[""wild"",""frightening"",""confrontational""],""Source Material"":[""original idea""],""Gender"":[""male"",""female""],""Setting Types"":[""urban""],""Agents"":[""camera operator"",""neighbor"",""zombie"",""reporter"",""fire fighter""],""Genres"":[""thriller"",""horror""],""Time Era"":[""contemporary (2000-)""],""Disciplines & Industries"":[""public safety"",""journalism""],""Scopes and Scales"":[""normal""],""Age Groups"":[""adult (19-59)""]}"
Easy Crier,"{""Setting Types"":[""middle school"",""suburban""],""Time Era"":[""contemporary (2000-)""],""Agents"":[""student"",""parent"",""family"",""legislator"",""neighbor"",""lawyer"",""sibling""],""Gender"":[""male"",""female""],""Subjects"":[""family""],""Age Groups"":[""teen (14-18)"",""tween (11-13)""],""Scopes and Scales"":[""normal""]}"
Spooky Buddies,"{""Moods"":[""funny"",""whimsical""],""Source Material"":[""sequel""],""Holidays & Seasons"":[""Halloween"",""autumn""],""Setting Types"":[""town""],""Agents"":[""witch"",""sheriff"",""dog""],""Scopes and Scales"":[""normal""],""Inactive Agents"":[""animal""],""Portrayals of Character"":[""Deputy Sniffer (Conway, Tim)"",""Deputy Tracker (none)"",""Alice (McCormick, Sierra)"",""Rodney (none)"",""Skip (none)"",""Devil Kid (none)"",""B-dawg (Gisondo, Skyler)"",""Sheriff Jim (none)"",""Bartleby (Albrizzi, Tucker)"",""Joseph (Charles, Max)"",""Mudbud (Panitz, Ty)"",""Janice (none)"",""Sam (Johnson, Jake)"",""Buddha (Wyson, Charles Henry)"",""Rosebud (Breslin, Abigail)"",""Hound (Bader, Diedrich)"",""Warwick (Williams, Harland)"",""Budderball (Ghisi, Nico)"",""Zelda (Rupp, Debra Jo)"",""Mr. Johnson (Howard, Rance)"",""Frankendude (Finn, Pat)"",""Hoot (Stiles, Ryan)"",""Sheriff Dan (Teigen, Michael)"",""Ghost Boy (none)"",""Mrs. Carroll (none)"",""Rosebud (Hannelius, G)"",""Pete (Ryan, Sage)"",""Pip (Jonas, Frankie)"",""Billy (Gisondo, Skyler)""],""Age Groups"":[""indeterminate""],""Time Era"":[""1930-1938"",""contemporary (2000-)""],""Subjects"":[""paranormal""],""Genres"":[""comedy"",""fantasy"",""kids""]}"
Okay Bayou?/ Shake Your Djibouti,"{""Agents"":[""wild animal""],""Setting Types"":[""jungle""],""Age Groups"":[""adult (19-59)""],""Gender"":[""male""],""Inactive Agents"":[""pig"",""animal""],""Scopes and Scales"":[""grand""]}"
"Art, Beats + Lyrics","{""Moods"":[""matter-of-fact"",""uplifting""],""Setting Types"":[""urban""],""Agents"":[""artist"",""group"",""collector""],""Term Status"":[],""Geography"":[""Atlanta""],""Genres"":[""documentary""],""Source Material"":[""real life""],""Subjects"":[""visual art""],""Disciplines & Industries"":[""fine arts""],""Story Elements"":[""racial and ethnic identity"",""creative process""],""Time Era"":[""2020-2029""]}"
